N,P,K,temperature,ph,label,rainfall,humidity
84,51,35,22.30157427,6.043304899,rice,197.9791215,80.64416466
73,57,41,21.44653958,5.824709117,rice,272.2017204,84.94375962
92,35,40,22.17931888,6.357389366,rice,200.0882787,80.33127223
85,37,39,24.52783742,6.364134968,rice,224.6757231,82.73685569
98,53,38,20.26707606,5.01450727,rice,270.4417274,81.63895217
88,54,44,25.7354293,6.149410611,rice,233.1321372,83.88266234
95,55,42,26.79533926,5.950660556,rice,193.3473987,82.1480873
99,57,35,26.75754171,5.960370061,rice,272.2999056,81.17734011
95,39,36,23.86330467,5.561398642,rice,285.2493645,83.15250801
60,43,44,21.01944696,7.416245107,rice,298.4018471,82.95221726
63,44,41,24.17298839,5.583370042,rice,257.0343554,83.7287574
62,42,36,22.78133816,6.430010215,rice,248.7183228,82.06719137
64,45,43,25.62980105,5.534878156,rice,209.9001977,83.52842314
83,60,36,25.59704938,6.903985986,rice,200.834898,80.14509262
82,40,40,23.83067496,6.271478838,rice,298.5601175,84.81360127
85,52,45,26.31355498,7.224285503,rice,265.5355937,82.36698992
91,35,38,24.8972823,6.13428721,rice,183.6793207,80.52586088
76,49,42,24.958779,5.206373153,rice,196.9560008,84.47963372
74,39,38,23.24113501,7.782051313,rice,233.0453455,84.59201843
79,43,39,21.66628296,7.062779015,rice,210.8142087,80.70960551
88,55,45,24.63544858,7.730367824,rice,253.7202781,80.41363018
60,36,43,23.43121862,5.286203711,rice,219.9048349,83.06310136
76,60,39,20.0454142,6.766240045,rice,208.5810155,80.3477562
93,56,42,23.85724032,7.382762603,rice,195.0948311,82.22572988
65,60,43,21.97199397,5.658169482,rice,227.3637009,81.89918197
95,52,36,26.22916897,5.543360238,rice,286.5083725,83.83625819
75,38,39,23.44676801,6.215109715,rice,283.9338466,84.79352417
74,54,38,25.65553461,7.120272972,rice,217.3788583,83.47021081
91,36,45,24.44345477,5.950647577,rice,267.9761948,82.45432595
71,46,40,20.2801937,7.236705436,rice,191.9535738,82.1235421
99,55,35,21.7238313,6.501697816,rice,277.9626192,80.2389895
72,40,38,20.41447029,7.592490617,rice,245.1511304,82.20802629
83,58,45,25.75528612,5.875345751,rice,245.6626799,83.51827127
93,58,38,20.61521424,6.932400225,rice,279.5451717,83.77345559
70,36,42,21.84106875,6.946209881,rice,202.3838319,80.72886384
76,47,42,20.08369642,5.739175027,rice,263.6372176,83.29114712
99,41,36,24.45802087,6.738652179,rice,182.5616319,82.74835604
99,54,37,21.14347496,5.594819626,rice,198.6730942,80.33502926
86,59,35,25.78720567,6.946636369,rice,243.5120414,82.11124033
69,46,41,23.64124821,5.012139669,rice,263.1103304,80.28597873
91,56,37,23.43191632,6.363472208,rice,269.5039162,80.56887849
61,52,41,24.97669518,6.880431223,rice,204.8001847,83.891805
67,45,38,22.72791041,7.300410836,rice,260.8875056,82.1706881
79,42,37,24.87300744,6.587918708,rice,295.6094492,82.84022551
78,43,42,21.32376327,7.283736617,rice,192.3197536,83.00320459
75,54,36,26.29465461,7.023936392,rice,257.4914906,84.56919326
97,36,45,22.2286982,6.939083505,rice,278.0791793,81.85872947
67,47,44,26.73072391,7.868474653,rice,280.4044392,81.78596776
73,35,38,24.88921174,5.005306977,rice,185.9461429,81.97927117
77,36,37,26.88444878,6.136131869,rice,194.5766559,81.46033732
81,41,38,22.67846116,7.524080076,rice,200.9133156,83.72874389
68,57,43,26.08867875,5.706943251,rice,182.9043504,80.37979919
72,45,35,25.42977518,5.758506323,rice,195.3574542,82.94682591
61,53,43,26.40323239,6.349606327,rice,223.3671883,81.05635517
67,43,39,26.04371967,5.999969026,rice,186.7536773,84.96907151
67,58,39,25.2827223,5.453592032,rice,220.1156708,80.54372813
66,60,38,22.08576562,6.372576327,rice,231.7364957,83.47038318
82,43,38,23.28617173,5.105588355,rice,242.3170629,81.43321641
84,50,44,25.48591986,5.935344406,rice,182.6549356,81.40633547
81,53,42,23.67575393,5.17782304,rice,233.7034975,81.03569343
91,50,40,20.82477109,6.462391607,rice,230.2242223,84.1341879
93,53,38,26.92995077,7.069172227,rice,290.6793783,81.91411159
90,44,38,23.83509503,7.473134377,rice,241.2013513,83.88387074
81,45,35,26.52872817,6.158376967,rice,218.9163567,80.12267476
78,40,38,26.46428311,7.549873681,rice,248.2256491,83.85642678
60,51,36,22.69657794,6.028321558,rice,256.9964761,82.81088865
88,46,42,22.68319059,6.604993475,rice,194.2651719,83.46358271
93,47,37,21.53346343,6.500343222,rice,295.9248796,82.14004101
60,55,45,21.40865769,5.935745417,rice,287.5766935,83.3293191
78,35,44,26.54348085,7.072655622,rice,183.6222657,84.67353597
65,37,40,23.35905428,5.333322606,rice,188.413665,83.59512273
71,54,16,22.61359953,5.749914421,maize,87.75953857,63.69070564
61,44,17,26.10018422,6.931756558,maize,102.2662445,71.57476937
80,43,16,23.55882094,6.657964753,maize,66.71995467,71.59351368
73,58,21,19.97215954,6.596060648,maize,60.65171481,57.68272924
61,38,20,18.47891261,5.970458434,maize,65.43835393,62.69503871
68,41,16,21.77689322,6.158830619,maize,102.0861694,57.80840636
93,41,17,25.6217169,6.047906679,maize,105.4654703,66.50415474
89,60,19,25.19192419,5.913664501,maize,78.06639649,66.6902901
76,44,17,20.41683147,5.855442401,maize,65.27798457,62.5542482
67,60,25,24.92162194,5.750254943,maize,109.2162279,66.78627406
70,44,19,23.31689124,5.852607099,maize,94.29712821,73.4541537
90,49,21,24.84016732,6.472523287,maize,74.05474936,68.3584573
62,52,16,22.27526694,6.967057762,maize,63.87020584,58.84015925
92,44,16,18.87751445,6.082973754,maize,94.76189431,65.76816093
66,54,21,25.19008683,5.919045532,maize,72.12375573,60.2001687
63,58,22,18.25405352,6.204747653,maize,63.72358154,55.28220433
70,47,17,24.6129118,6.600827017,maize,104.1626147,70.4162444
61,41,17,25.1420613,6.021902237,maize,76.68456006,65.26185135
66,53,19,23.09348056,6.033550195,maize,65.49730729,60.1159381
74,55,19,18.05033737,6.28886807,maize,84.23613484,62.89366992
77,57,21,24.9321581,6.550563823,maize,79.74078719,73.80435276
99,50,15,18.14710054,5.573286437,maize,88.07753741,71.09445342
74,56,22,18.28362235,6.829199275,maize,80.97573281,66.65952796
83,45,21,18.83344471,5.716222912,maize,79.7532896,58.75082029
100,48,16,25.71895816,5.54990242,maize,74.51490791,67.22190688
79,51,16,25.33797709,6.586244581,maize,96.46380213,68.49835977
94,39,18,23.89114571,5.893093135,maize,102.8301942,57.48775781
75,49,15,21.53574127,5.918263801,maize,102.4852929,71.50905983
78,48,22,23.08974909,5.588650585,maize,70.43473609,63.10459626
87,54,20,25.61707368,6.576418207,maize,108.8303762,63.4711755
87,35,25,21.44526922,6.178056304,maize,65.88951188,63.1621551
63,43,19,18.51816776,6.641906353,maize,90.988051,55.53128131
84,57,25,22.53510514,6.489040367,maize,64.40866039,67.99257471
64,35,23,23.02038334,5.680361038,maize,63.03843397,61.89472002
60,46,22,24.89364635,6.625404348,maize,87.9298085,65.61418761
98,44,21,25.77175115,6.524478032,maize,107.4931917,74.089114
75,56,18,19.39851734,5.696205468,maize,60.95197486,62.35750641
86,55,21,21.54156232,6.803931519,maize,109.7515385,59.64024162
98,35,18,23.79746068,6.252797548,maize,91.76337172,74.82913698
76,57,18,18.9802729,6.092725883,maize,94.26249353,74.52600826
99,56,17,24.10859207,6.234330356,maize,71.07562236,73.13112261
60,44,23,24.7947077,5.722579819,maize,76.72860067,70.04556743
74,48,17,21.63162756,6.430616465,maize,69.21803098,60.27766379
89,60,17,25.37548751,5.983952675,maize,101.7004306,57.21025565
69,51,23,22.21738222,6.80163854,maize,106.6213157,72.85462807
96,46,22,20.58314011,6.499936446,maize,66.29390357,69.00128641
61,60,15,24.87502824,6.265564338,maize,91.26056654,68.74248334
74,58,18,20.03728219,6.727303282,maize,109.024141,56.35606753
74,43,23,25.95263264,6.325235159,maize,99.57981207,61.89082199
63,43,17,19.28889933,6.807487794,maize,71.3195307,65.47050802
99,36,20,20.57981887,6.671085817,maize,78.34604471,65.34583901
77,36,23,24.71417533,6.648725327,maize,88.45361858,56.73426469
87,60,23,20.27317074,6.439071996,maize,62.50351892,63.91281869
60,38,17,18.41932981,6.474476516,maize,76.41312437,64.23580251
94,54,17,23.39128187,5.871647806,maize,107.3198135,61.74427165
95,38,22,19.84939404,5.730617109,maize,100.7689246,61.24500053
84,44,21,21.869274,5.850439831,maize,107.2681929,61.91044947
77,58,19,22.8056033,5.791649933,maize,101.5952794,56.50768935
66,44,20,19.0781471,6.740000688,maize,80.72515943,69.02298571
63,35,16,22.02720976,6.272417541,maize,83.73280082,65.35549924
79,45,20,23.80546189,5.715208817,maize,89.9622014,59.24537979
72,60,25,18.52510753,5.773454729,maize,88.10234397,69.0276233
67,51,24,23.50297882,5.584171461,maize,64.77791424,61.32026065
86,36,24,26.54986394,5.787268394,maize,73.33636055,72.89187265
76,48,18,19.29563411,5.77597783,maize,83.21030571,69.63481219
75,53,18,20.68899915,6.864793607,maize,103.651438,59.4375337
81,45,23,19.32666088,6.192360003,maize,84.22969177,68.034493
73,45,21,24.60532218,6.636803223,maize,96.59195302,73.58868502
71,35,24,22.27373646,5.826426917,maize,67.96704792,59.52193158
96,54,22,25.70196694,6.960358276,maize,83.20711308,61.33450447
99,39,18,19.20129357,6.11275104,maize,87.85092352,68.30578978
62,48,20,21.70181447,6.708446922,maize,95.71388473,60.47470519
86,37,16,20.51716779,5.561510732,maize,67.61013737,59.21235483
94,50,19,23.30355338,5.873242491,maize,97.59081274,73.62548442
76,39,24,24.2547451,6.995843776,maize,64.23845455,55.64709899
77,52,17,24.86374934,5.714799723,maize,75.82270467,65.7420046
74,39,23,22.6265115,6.78073637,maize,88.17251033,65.77472881
81,49,20,18.04185513,5.513697923,maize,104.2321615,60.61494304
63,42,21,23.26237612,5.798423908,maize,67.10225139,72.33125523
99,38,21,22.88330922,6.352471866,maize,67.72777298,71.59722446
90,52,25,25.97482359,6.822586546,maize,103.2234212,69.36385721
68,40,19,26.14384005,6.655426355,maize,107.2361366,66.20569924
60,57,24,18.66116213,6.121294041,maize,75.03247667,61.55327249
71,52,18,25.10787449,5.790770203,maize,78.16077693,55.97732754
61,59,17,23.33844615,6.47444292,maize,105.0083144,59.24580604
88,38,15,25.08239719,6.455116637,maize,62.49190812,65.92195844
65,60,22,25.36768364,6.606984086,maize,107.9124111,72.52054555
78,37,22,25.34217103,6.330554389,maize,74.52082026,63.31801994
78,58,15,25.00933355,6.528631266,maize,62.91359494,67.816568
92,60,23,18.66746724,5.721667141,maize,69.93293255,71.516474
79,59,17,20.37999665,6.644205485,maize,108.5054416,63.73849998
91,55,15,18.09300227,6.376651091,maize,78.96159541,72.61024172
76,51,18,26.16985907,6.247040422,maize,79.84925393,71.96246617
87,48,25,18.65396672,6.656730008,maize,93.62039175,61.37879671
71,60,22,26.07470121,6.2048017,maize,85.75692395,59.37147589
90,57,24,18.92851916,6.158860284,maize,82.34162918,72.80086137
67,35,22,23.30546753,6.385684214,maize,108.7603001,63.24648023
60,54,19,18.74826712,6.417820493,maize,70.23401597,62.49878458
83,58,23,19.74213321,6.381201909,maize,65.50861389,59.66263104
83,57,19,25.73044432,6.877869005,maize,98.73771338,70.74739256
40,72,77,17.02498456,7.485996067,chickpea,88.55123143,16.98861173
23,72,84,19.02061277,6.920251378,chickpea,79.92698081,17.13159126
39,58,85,17.88776475,5.996932037,chickpea,68.54932919,15.40589717
22,72,85,18.86805647,6.391173589,chickpea,88.51048983,15.65809214
36,67,77,18.36952567,7.152811172,chickpea,79.26357665,19.56381041
32,73,81,20.45078582,5.988992796,chickpea,92.68373702,15.40312102
58,70,84,20.6543203,6.231049028,chickpea,74.6631118,16.60820843
59,70,84,17.3348681,7.550808267,chickpea,82.61734721,18.74926979
42,62,75,18.17912258,7.010570541,chickpea,81.84997529,18.90426935
28,74,81,18.01272266,8.753795334,chickpea,81.98568791,18.30968112
58,66,79,20.99373558,8.718192847,chickpea,93.55280105,19.33470387
43,66,79,19.46233971,7.976607593,chickpea,74.58565097,15.22538951
58,63,81,19.81344531,6.515499549,chickpea,78.96514709,14.69765308
23,62,85,18.97424756,8.490127142,chickpea,80.7108745,19.5161216
27,62,77,18.19737048,6.576415562,chickpea,70.18185181,14.71070537
28,72,84,18.72963144,6.481783043,chickpea,71.58010169,19.18197264
50,56,76,20.99502153,7.966605025,chickpea,73.50734019,19.8601304
39,71,84,20.28155898,8.140825437,chickpea,82.52339655,16.39535215
25,78,76,17.48042641,7.228963452,chickpea,66.96980581,15.7559405
31,70,77,20.88818675,6.492546046,chickpea,90.46228334,14.32313811
26,80,83,17.08498521,7.528599957,chickpea,71.31007253,16.14565756
25,68,77,20.09340593,7.701446446,chickpea,85.74904898,15.11279612
31,78,76,17.57212145,8.519975748,chickpea,89.31050665,14.99927489
60,68,83,19.12065218,6.620900869,chickpea,85.52950164,18.43475844
59,62,83,18.57665902,8.104396058,chickpea,72.94940441,19.22008229
22,67,78,17.16606398,6.204090835,chickpea,72.32667516,14.42457525
36,65,80,18.2872007,6.051091339,chickpea,74.87445574,16.67921616
59,60,84,19.03025305,7.690962338,chickpea,94.70992037,18.66725565
54,77,85,17.1418614,7.829211144,chickpea,83.74606679,17.0662427
43,68,81,17.47809436,6.761599706,chickpea,78.92060234,17.93253975
28,76,82,20.56601874,6.654425315,chickpea,83.75937135,14.25803981
42,79,85,17.22385224,6.129533877,chickpea,76.57580954,15.82069268
32,60,83,19.69141713,8.829273328,chickpea,91.76071648,19.44225438
22,78,76,17.84851658,8.621662982,chickpea,76.32470713,19.09172907
31,79,75,18.8202251,8.204862075,chickpea,89.73119396,16.1074793
28,58,81,17.47500984,6.18042747,chickpea,93.35034262,16.54314829
57,58,77,18.72649425,7.978996755,chickpea,81.20176515,17.58406365
49,55,78,18.65580107,7.863113671,chickpea,81.70769297,16.17772668
46,76,77,18.2356751,6.967843048,chickpea,83.74879344,19.68538502
54,61,77,18.81198127,6.206582193,chickpea,77.5429424,15.21618225
38,60,76,18.65054116,8.868741443,chickpea,77.92798682,17.80852431
59,55,79,20.36720401,8.766128654,chickpea,82.2545577,16.89574311
36,76,75,18.38120357,8.736337905,chickpea,70.52056697,16.63805158
57,68,81,17.17012591,8.081095263,chickpea,72.78624223,17.30457712
35,66,81,19.37101121,6.138243973,chickpea,85.24819851,15.77458129
35,64,78,17.92845928,7.496645259,chickpea,85.37378769,14.27327988
52,60,79,19.45339934,8.380185271,chickpea,75.6317566,18.23490739
27,76,83,19.12829388,6.289614016,chickpea,89.61857826,14.92241479
57,60,84,19.1034283,6.586777189,chickpea,75.49101167,17.26184541
52,68,78,17.48504075,6.89655198,chickpea,86.05078037,16.96070581
43,79,79,19.40751744,7.806747656,chickpea,80.25064637,18.98030507
44,74,85,20.18649426,7.150681303,chickpea,78.26039559,19.63719995
24,55,78,17.30287885,6.64919573,chickpea,75.57790384,15.15405941
29,77,75,17.50361137,7.778591618,chickpea,72.9446671,15.48083156
20,60,78,18.17234999,6.358740355,chickpea,90.7760707,14.70085967
56,67,78,17.57445618,8.255450758,chickpea,77.81891424,16.71826572
37,66,85,20.93175255,6.456148474,chickpea,78.06910795,18.91295403
49,71,76,19.71098332,6.613072145,chickpea,85.57925437,17.63879418
59,69,80,19.07937684,8.165359297,chickpea,69.40619137,17.86754927
20,79,77,18.54988627,7.64867466,chickpea,76.32565249,16.02542689
24,56,85,18.19903647,6.545888558,chickpea,80.6405403,17.41333199
51,72,75,18.88852533,7.104224797,chickpea,80.1113384,14.99451145
57,73,85,18.49311205,7.358099622,chickpea,91.94595352,14.72115044
22,64,82,19.48974337,6.4740245,chickpea,87.51312796,17.17260319
52,73,79,17.25769499,7.840339389,chickpea,94.00287214,18.74943955
29,75,75,19.62416326,7.064790365,chickpea,88.4585692,18.71483156
44,59,78,20.67526473,7.599033472,chickpea,84.78344008,19.85388984
41,69,82,20.02381489,6.715587232,chickpea,68.97806542,16.63294455
52,56,85,20.1187446,6.81712422,chickpea,88.68168643,14.44228303
34,76,80,20.65691793,7.985417393,chickpea,65.23811143,15.84572566
42,74,83,19.2582557,7.545258424,chickpea,65.78042032,14.2804191
34,71,79,17.927806,7.728998197,chickpea,74.63872762,15.85622899
27,73,79,19.16288268,7.354973451,chickpea,82.69766829,15.83500655
30,70,79,20.26942271,7.313122235,chickpea,69.64449182,19.96978871
57,57,75,17.09104223,7.785039076,chickpea,87.27444866,18.25142068
27,79,82,17.06579293,6.307004923,chickpea,70.87150577,17.54024066
32,71,85,20.62767492,6.403982316,chickpea,92.06630306,14.44008871
31,76,82,20.8248451,7.599279991,chickpea,79.20509212,17.85057083
33,75,84,19.46210401,7.217018459,chickpea,68.81405149,18.72831993
47,80,77,17.18248372,7.561108006,chickpea,72.85017344,16.42891834
54,62,80,17.48911699,7.489545074,chickpea,79.45758333,16.39055394
47,79,78,17.48395377,6.609696734,chickpea,65.11365631,14.76014523
35,57,83,19.48316794,7.476800943,chickpea,80.4986291,17.44534641
53,73,77,19.71359733,7.325451279,chickpea,73.64476535,18.09665739
45,61,78,19.48649305,6.489389282,chickpea,81.5284269,16.06240074
37,78,79,19.95264829,7.786366322,chickpea,88.6810311,14.82633099
30,75,81,19.41789736,6.408437886,chickpea,68.4951189,16.80472243
37,55,82,19.45591848,8.423873703,chickpea,78.44910564,18.02235902
53,65,76,20.19137759,8.719960893,chickpea,77.33795356,16.41998269
22,60,85,18.8392908,7.811997977,chickpea,94.78189594,14.74071856
60,61,78,20.71219282,6.317153205,chickpea,94.03659867,19.83643308
42,67,77,18.99424448,7.114405288,chickpea,78.69707199,15.9362937
39,76,76,19.96837462,8.135900726,chickpea,69.15759062,15.57324389
35,63,76,17.81564548,7.714153038,chickpea,90.82097601,17.60756635
30,65,82,20.71424384,7.103798069,chickpea,76.77888672,15.27824066
57,56,78,17.34150229,8.861479668,chickpea,67.9545435,18.75626255
48,65,78,17.43732714,7.861128148,chickpea,73.0926704,14.33847406
36,56,83,18.89780215,7.4526709,chickpea,69.09512477,19.76182946
40,58,75,18.59190771,7.168096055,chickpea,89.60982451,14.77959596
49,69,82,18.31561493,7.26311855,chickpea,81.78710463,15.36143547
13,60,25,17.13692774,5.68597166,kidneybeans,128.256862,20.59541693
25,70,16,19.63474332,5.759237003,kidneybeans,106.3598183,18.90705639
31,55,22,22.91350245,5.873171894,kidneybeans,109.225556,21.33953114
40,64,16,16.43340342,5.926676985,kidneybeans,140.3717815,24.24045875
2,61,20,22.13974653,5.95561668,kidneybeans,76.64128258,23.02251117
26,65,22,17.84806561,5.949949081,kidneybeans,143.0984171,18.77621951
17,57,21,19.88394011,5.789214289,kidneybeans,60.91974792,20.31564139
26,80,18,19.32509638,5.581021521,kidneybeans,104.7783947,23.3334788
17,59,17,18.4167001,5.689858133,kidneybeans,132.9801054,23.42829938
27,59,22,21.81167649,5.794158504,kidneybeans,130.0608093,23.20591245
28,58,24,19.72702528,5.748190463,kidneybeans,143.7630894,18.28173015
25,57,19,17.15432954,5.566522896,kidneybeans,87.99669731,19.87070659
28,80,17,19.62207826,5.809419584,kidneybeans,144.1567454,18.67170854
25,60,22,21.63149148,5.887263027,kidneybeans,134.3649948,21.17919701
12,78,23,16.06522754,5.99812453,kidneybeans,88.06638775,18.72479695
6,77,25,20.61162204,5.792744849,kidneybeans,69.63833855,24.36314135
22,79,17,21.42451099,5.912289889,kidneybeans,116.5206923,20.39659714
27,80,15,19.07096165,5.788386951,kidneybeans,86.21917578,21.21092266
10,55,23,21.18853178,5.728233081,kidneybeans,137.1948633,19.63438599
23,65,20,23.0429097,5.833940084,kidneybeans,108.3684316,22.42610972
19,78,16,20.65375833,5.967533236,kidneybeans,67.71768947,23.10538637
19,65,25,18.09551014,5.625096446,kidneybeans,144.7902323,18.29318436
22,70,19,18.23775702,5.515615023,kidneybeans,69.44951585,21.07643273
37,64,22,17.48189735,5.954665349,kidneybeans,121.9401369,18.8251973
11,71,17,19.9191786,5.74644777,kidneybeans,82.68554379,21.47324158
18,79,20,20.27514686,5.877347515,kidneybeans,139.7521543,23.2353604
21,63,17,15.77370214,5.979973965,kidneybeans,108.3441414,19.2303162
24,80,22,16.71170642,5.635993966,kidneybeans,96.77285817,19.17651433
34,60,22,17.66148158,5.635231778,kidneybeans,100.6711761,18.15302753
16,75,21,18.50692825,5.679224346,kidneybeans,87.0513289,23.61670065
17,77,23,24.51324787,5.670062975,kidneybeans,64.19497947,20.81527638
37,72,18,18.87614998,5.724242065,kidneybeans,105.4120514,24.54038287
40,73,20,21.59343016,5.811314232,kidneybeans,61.13872036,20.31871249
9,77,17,20.12373284,5.783425416,kidneybeans,106.158201,24.45202552
1,62,23,15.43546065,5.607808432,kidneybeans,139.0302034,18.37477907
33,59,22,22.64236876,5.946999529,kidneybeans,122.3886015,21.59396123
23,59,19,21.98560799,5.852046999,kidneybeans,129.5650601,24.87304788
6,62,22,20.53052663,5.824090984,kidneybeans,120.4509288,18.09224048
25,63,20,15.78601387,5.502999119,kidneybeans,95.17028129,21.14544088
7,79,23,19.6365349,5.821649914,kidneybeans,96.65888933,19.68751084
8,72,17,20.57341244,5.711439256,kidneybeans,87.87869161,19.7520218
27,64,15,20.16080524,5.514927264,kidneybeans,138.2362122,24.84207559
28,66,23,21.53989176,5.99616119,kidneybeans,120.6913038,24.25386207
32,57,18,15.53834801,5.695422863,kidneybeans,107.3850593,23.75560241
27,56,22,19.91853092,5.833010958,kidneybeans,108.6434544,20.70099804
17,77,24,20.76952209,5.568456899,kidneybeans,109.0193712,18.93146941
0,65,15,23.46168338,5.645435626,kidneybeans,95.84253438,23.22197648
13,72,21,24.32116642,5.821194486,kidneybeans,60.27552528,21.0278674
34,60,23,20.12574053,5.659254981,kidneybeans,100.0497183,24.96969858
9,80,19,21.80619564,5.945465949,kidneybeans,125.0972687,18.57086554
11,72,20,19.52226241,5.951177452,kidneybeans,113.334026,24.92607153
3,67,24,17.00067625,5.520880014,kidneybeans,103.2926407,19.90790546
35,69,23,16.78791503,5.578410206,kidneybeans,75.45328039,24.96881755
3,77,25,24.84906168,5.608165195,kidneybeans,62.21292186,22.89464642
23,62,19,16.51783455,5.609435128,kidneybeans,98.77794225,20.4555596
22,71,17,18.15300153,5.509295379,kidneybeans,107.6907964,19.38602098
31,79,25,23.18864385,5.902033406,kidneybeans,63.38208822,22.3104551
34,59,18,23.38002569,5.744117663,kidneybeans,87.66898664,21.98879437
12,63,17,18.358923,5.717143397,kidneybeans,138.414764,19.37703396
27,56,20,19.25975367,5.542690119,kidneybeans,94.9533526,20.51346956
7,63,24,22.95458237,5.858617867,kidneybeans,107.7315386,24.03553105
24,67,22,20.120043,5.618844277,kidneybeans,104.6252153,22.89845607
11,71,24,21.14011423,5.606620346,kidneybeans,141.6056722,22.7182355
37,74,15,24.92360104,5.582178402,kidneybeans,62.7089169,18.22590825
25,76,24,15.33042636,5.56503533,kidneybeans,135.3315583,24.91506728
34,66,17,18.81097271,5.889614577,kidneybeans,125.084915,21.27833035
20,69,15,23.44260668,5.934136378,kidneybeans,107.4137246,22.77255917
37,65,16,22.8352024,5.683548308,kidneybeans,63.59276673,18.97267518
18,74,15,24.9035819,5.70836603,kidneybeans,146.4727237,22.27512704
4,67,25,23.78709569,5.948164454,kidneybeans,119.6404412,24.35679348
37,56,25,22.05592283,5.774755144,kidneybeans,126.7265372,19.60379304
5,59,15,18.87492997,5.97229163,kidneybeans,134.1811718,20.18238348
11,61,21,18.62328774,5.532100554,kidneybeans,135.3378033,23.02410338
22,80,20,23.00884744,5.669560726,kidneybeans,100.118612,18.86880997
12,61,19,19.33162606,5.655726817,kidneybeans,68.51253427,24.13995025
5,74,21,16.24469193,5.591704014,kidneybeans,66.97053257,21.35793891
27,69,22,17.91652287,5.932323085,kidneybeans,69.14681022,24.90814655
31,75,18,15.46789263,5.824208309,kidneybeans,88.88796102,21.43780702
36,68,20,17.06104474,5.86442953,kidneybeans,81.83420522,23.77201471
5,65,16,21.32776028,5.866744372,kidneybeans,109.1013261,18.48522915
32,79,15,23.90910104,5.706198621,kidneybeans,81.60211243,20.74619325
11,78,22,23.89756791,5.940546818,kidneybeans,112.6616435,22.74378977
0,55,22,22.98666928,5.916779289,kidneybeans,143.8584938,20.57940608
14,59,15,21.35135729,5.779090476,kidneybeans,146.4548645,22.91244883
29,68,23,24.1638445,5.82738029,kidneybeans,116.7324324,19.27907819
32,68,19,24.62835037,5.514234138,kidneybeans,149.7441028,18.18325169
17,64,17,21.02213209,5.662699104,kidneybeans,124.6118471,24.93896255
13,69,19,17.30844532,5.86390397,kidneybeans,115.199245,20.01730914
14,67,22,23.82576704,5.624690248,kidneybeans,84.64143632,24.75485098
9,69,20,19.30607278,5.591560999,kidneybeans,129.3449326,23.96362799
20,73,22,16.03768615,5.976312538,kidneybeans,130.3900798,22.33195853
40,78,20,19.18572809,5.669236258,kidneybeans,80.15293435,20.83398341
27,72,23,19.92889503,5.961934481,kidneybeans,64.02640797,21.79992115
14,67,15,19.56376468,5.690065688,kidneybeans,139.2921004,24.67385131
7,56,18,18.31357543,5.698371311,kidneybeans,76.14153904,24.32991649
27,65,18,20.10993761,5.59503163,kidneybeans,73.36386477,23.22323766
30,63,16,23.60506572,5.525904526,kidneybeans,100.5978728,21.90539577
37,70,25,19.73136909,5.819403771,kidneybeans,84.06354115,24.89487354
27,63,19,20.93409877,5.562201934,kidneybeans,133.1914419,21.1893007
22,60,24,18.78226261,5.630664753,kidneybeans,104.2570723,20.24768314
3,72,24,36.51268371,6.03160778,pigeonpeas,122.6539694,57.92887167
40,59,23,36.89163721,5.269084669,pigeonpeas,163.7266551,62.73178224
33,73,23,29.23540524,5.985792703,pigeonpeas,103.3301803,59.38967583
27,57,24,27.33534897,6.09186275,pigeonpeas,142.3303677,43.35795962
